"","surf","vol","dx","dy","dz","chull","rsv","l","i","s","sphe","compact","intspace","dr1","dr2","dr3","fd"
"MBE10119",660.376838262315,544.174011230469,13.423700094223,19.5745697021484,15.1344780921936,1395.64476268295,1.21353983217444,19.5745697021484,15.1344780921936,13.423700094223,0.84728256451149,0.488109757822318,851.470751452484,0.685772423020348,0.721864044107481,0.773170410511374,2.03895860378864
"MBE10122",347.396855281306,284.889678955078,9.49728393554688,11.5973038673401,9.8139533996582,480.34705121394,1.21940835679093,11.5973038673401,9.8139533996582,9.49728393554688,0.925406627359644,0.602711371617779,195.457372258862,0.818921711820692,0.84920644832122,0.846227150027163,2.02732524851443
"MBE10123",330.999129368947,217.37385559082,13.7720897197723,13.1298656463623,9.93890047073364,634.12882793344,1.52271821498172,13.7720897197723,13.1298656463623,9.93890047073364,0.8174706818912,0.528196450934871,416.754972342619,0.721669744604157,0.167543012276551,0.953367710603279,2.14494627878406
"MBE10219",425.096125438105,260.558929443359,11.0241365432739,14.7117023468018,14.4710438251495,928.191402903291,1.63147786316996,14.7117023468018,14.4710438251495,11.0241365432739,0.829549157105898,0.464088655140331,667.632473459931,0.749344724587261,0.0652621633007844,0.983641694483811,2.09094716888203
"MBE10222",293.578830147297,238.678070068359,6.86767816543579,14.7230596542358,10.6170744895935,398.307742097495,1.23002012737582,14.7230596542358,10.6170744895935,6.86767816543579,0.670716480812286,0.633822619416282,159.629672029136,0.466457266812741,0.522697105226082,0.721118757848608,2.12532558058792
"MBE10223",211.42740795135,147.643783569336,9.63370585441589,10.1171913146973,12.1299685835838,327.887416521615,1.43201022650615,12.1299685835838,10.1171913146973,9.63370585441589,0.911078311816691,0.638949129852317,180.243632952279,0.794206991389387,0.806316276475221,0.834065747572457,2.20136706089935
"MBE10319",641.866727305467,437.300354003906,9.979905128479,20.3876886367798,17.9441356658936,1349.64362582378,1.46779375188828,20.3876886367798,17.9441356658936,9.979905128479,0.64811801974058,0.434069375816678,912.343271819869,0.489506451970973,0.234781302756477,0.880145659744969,2.23515661743886
"MBE10322",693.549621279222,470.510559082031,13.8538794517517,18.596782207489,18.3507237434387,1669.40835763891,1.47403625251757,18.596782207489,18.3507237434387,13.8538794517517,0.825437006404603,0.421812554604902,1198.89779855688,0.744961106560289,0.0518792977049014,0.986768761320913,2.0949167068448
"MBE10323",443.130483101123,291.831634521484,9.05142569541931,11.9570741653442,13.1235104799271,736.335763287419,1.51844567443048,13.1235104799271,11.9570741653442,9.05142569541931,0.805229502715695,0.480146841739487,444.504128765934,0.689710707303799,0.286446961767725,0.911118574838117,2.2374390231908
"MBE10419",557.553880360372,297.303527832031,12.8348536491394,16.6091384887695,13.6684975624084,1166.80967568596,1.87536920407946,16.6091384887695,13.6684975624084,12.8348536491394,0.898610147733537,0.386364595973553,869.50614785393,0.772758542402295,0.779125331369866,0.822950424048217,2.20464243948644
"MBE10422",215.476793433949,194.913131713867,5.7609292268753,12.1265637874603,9.45414161682129,260.047178730226,1.10550167420361,12.1265637874603,9.45414161682129,5.7609292268753,0.661518113308811,0.754474130769662,65.1340470163585,0.475066913253076,0.419820230835468,0.779622470348731,2.0380790754898
"MBE10423",205.090777914451,146.788192749023,9.61550664901733,8.99799537658691,10.0892677307129,257.093747208109,1.39718852091267,10.0892677307129,9.61550664901733,8.99799537658691,0.941499088821094,0.656143364330187,110.305554459085,0.891838299542392,0.434136427908505,0.953043065726824,2.09394628686598
