,point,date,latitude,longitude,date0,closest_point,distance_to_point
64,Keraliou 1,2019-02-21T00:00:00,48.371567,-4.425733,2018-11-23T00:00:00,48054,233.62321258909333
65,Keraliou 1,2022-04-15T00:00:00,48.371567,-4.425733,2022-01-15T00:00:00,48054,233.62321258909333
66,Keraliou 1,2023-03-18T00:00:00,48.371567,-4.425733,2022-12-18T00:00:00,48054,233.62321258909333
67,Keraliou 2,2019-02-21T00:00:00,48.3671,-4.436367,2018-11-23T00:00:00,48051,291.90879294182974
68,Keraliou 2,2022-04-15T00:00:00,48.3671,-4.436367,2022-01-15T00:00:00,48051,291.90879294182974
69,Keraliou 2,2023-03-18T00:00:00,48.3671,-4.436367,2022-12-18T00:00:00,48051,291.90879294182974
70,Keraliou 3,2019-02-21T00:00:00,48.35795,-4.444167,2018-11-23T00:00:00,47978,296.39179442528035
71,Keraliou 3,2022-04-15T00:00:00,48.35795,-4.444167,2022-01-15T00:00:00,47978,296.39179442528035
72,Keraliou 3,2023-03-18T00:00:00,48.35795,-4.444167,2022-12-18T00:00:00,47978,296.39179442528035
73,Glenan 1,2019-02-19T00:00:00,47.7327833333333,-4.01121666666667,2018-11-21T00:00:00,39847,197.99300244643487
74,Glenan 1,2022-03-26T00:00:00,47.7327833333333,-4.01121666666667,2021-12-26T00:00:00,39847,197.99300244643487
75,Glenan 1,2023-03-16T00:00:00,47.7327833333333,-4.01121666666667,2022-12-16T00:00:00,39847,197.99300244643487
76,Glenan 3,2019-02-19T00:00:00,47.7284666666667,-3.96793333333333,2018-11-21T00:00:00,40222,356.888303210844
77,Glenan 3,2022-03-26T00:00:00,47.7284666666667,-3.96793333333333,2021-12-26T00:00:00,40222,356.888303210844
78,Glenan 3,2023-03-16T00:00:00,47.7284666666667,-3.96793333333333,2022-12-16T00:00:00,40222,356.888303210844
79,Camaret 2,2019-02-22T00:00:00,48.2933,-4.57995,2018-11-24T00:00:00,46743,70.88061358265925
80,Camaret 2,2022-03-27T00:00:00,48.2933,-4.57995,2021-12-27T00:00:00,46743,70.88061358265925
81,Camaret 2,2023-03-18T00:00:00,48.2933,-4.57995,2022-12-18T00:00:00,46743,70.88061358265925
82,Molene 3,2019-02-22T00:00:00,48.3868,-4.85426666666667,2018-11-24T00:00:00,48645,153.79476609562002
83,Molene 3,2022-03-27T00:00:00,48.3868,-4.85426666666667,2021-12-27T00:00:00,48645,153.79476609562002
84,Molene 3,2023-03-19T00:00:00,48.3868,-4.85426666666667,2022-12-19T00:00:00,48645,153.79476609562002
85,Trevignon 3,2019-02-19T00:00:00,47.7915833333333,-3.88576666666667,2018-11-21T00:00:00,41731,376.0182281037662
86,Trevignon 3,2022-03-25T00:00:00,47.7915833333333,-3.88576666666667,2021-12-25T00:00:00,41731,376.0182281037662
87,Trevignon 3,2023-03-16T00:00:00,47.7915833333333,-3.88576666666667,2022-12-16T00:00:00,41731,376.0182281037662
88,Meaban 3,2019-02-20T00:00:00,47.5258,-2.93448333333333,2018-11-22T00:00:00,109384,235.57327630242523
89,Meaban 3,2022-03-24T00:00:00,47.5258,-2.93448333333333,2021-12-24T00:00:00,109384,235.57327630242523
90,Meaban 3,2023-03-15T00:00:00,47.5258,-2.93448333333333,2022-12-15T00:00:00,109384,235.57327630242523
