"","point","date","latitude","longitude","date0"
"1","Rozegat 1","2019-02-21T00:00:00",48.3203833333333,-4.38765,"2018-11-23T00:00:00"
"2","Rozegat 1","2022-04-15T00:00:00",48.3203833333333,-4.38765,"2022-01-15T00:00:00"
"3","Rozegat 1","2023-03-18T00:00:00",48.3203833333333,-4.38765,"2022-12-18T00:00:00"
"4","Rozegat 2","2019-02-21T00:00:00",48.32195,-4.37116666666667,"2018-11-23T00:00:00"
"5","Rozegat 2","2022-04-15T00:00:00",48.32195,-4.37116666666667,"2022-01-15T00:00:00"
"6","Rozegat 2","2023-03-18T00:00:00",48.32195,-4.37116666666667,"2022-12-18T00:00:00"
"7","Rozegat 3","2019-02-21T00:00:00",48.31355,-4.3653,"2018-11-23T00:00:00"
"8","Rozegat 3","2022-04-15T00:00:00",48.31355,-4.3653,"2022-01-15T00:00:00"
"9","Rozegat 3","2023-03-18T00:00:00",48.31355,-4.3653,"2022-12-18T00:00:00"
"10","Meaban 1","2019-02-20T00:00:00",47.526,-2.9315333333,"2018-11-22T00:00:00"
"11","Meaban 1","2022-03-24T00:00:00",47.526,-2.9315333333,"2021-12-24T00:00:00"
"12","Meaban 1","2023-03-15T00:00:00",47.526,-2.9315333333,"2022-12-15T00:00:00"
"13","Glenan 2","2019-02-19T00:00:00",47.7349666666667,-4.00031666666667,"2018-11-21T00:00:00"
"14","Glenan 2","2022-03-26T00:00:00",47.7349666666667,-4.00031666666667,"2021-12-26T00:00:00"
"15","Glenan 2","2023-03-16T00:00:00",47.7349666666667,-4.00031666666667,"2022-12-16T00:00:00"
"16","Saint-Brieuc 1","2019-02-25T00:00:00",48.7871333333333,-2.87,"2018-11-27T00:00:00"
"17","Saint-Brieuc 1","2022-03-29T00:00:00",48.7871333333333,-2.87,"2021-12-29T00:00:00"
"18","Saint-Brieuc 1","2023-03-21T00:00:00",48.7871333333333,-2.87,"2022-12-21T00:00:00"
"19","Saint-Brieuc 2","2019-02-25T00:00:00",48.7872833333333,-2.90715,"2018-11-27T00:00:00"
"20","Saint-Brieuc 2","2022-03-29T00:00:00",48.7872833333333,-2.90715,"2021-12-29T00:00:00"
"21","Saint-Brieuc 2","2023-03-21T00:00:00",48.7872833333333,-2.90715,"2022-12-21T00:00:00"
"22","Saint-Brieuc 3","2019-02-25T00:00:00",48.787,-2.87756666666667,"2018-11-27T00:00:00"
"23","Saint-Brieuc 3","2022-03-29T00:00:00",48.787,-2.87756666666667,"2021-12-29T00:00:00"
"24","Saint-Brieuc 3","2023-03-21T00:00:00",48.787,-2.87756666666667,"2022-12-21T00:00:00"
"25","Belle-ile 1","2019-02-20T00:00:00",47.3311666666667,-3.13018333333333,"2018-11-22T00:00:00"
"26","Belle-ile 1","2022-03-25T00:00:00",47.3311666666667,-3.13018333333333,"2021-12-25T00:00:00"
"27","Belle-ile 1","2023-03-15T00:00:00",47.3311666666667,-3.13018333333333,"2022-12-15T00:00:00"
"28","Belle-ile 2","2019-02-20T00:00:00",47.3313333333333,-3.13253333333333,"2018-11-22T00:00:00"
"29","Belle-ile 2","2022-03-25T00:00:00",47.3313333333333,-3.13253333333333,"2021-12-25T00:00:00"
"30","Belle-ile 2","2023-03-15T00:00:00",47.3313333333333,-3.13253333333333,"2022-12-15T00:00:00"
