,point,date,vwnd_mean,vwnd_median,vwnd_sd,vwnd_min,vwnd_max
0,Rozegat 1,2019-02-21T00:00:00,1.1523147821426392,1.2000000476837158,3.7303340435028076,-9.5,14.699999809265137
1,Rozegat 1,2022-04-15T00:00:00,0.5898148417472839,0.6000000238418579,3.526233434677124,-10.100000381469727,12.600000381469727
2,Rozegat 1,2023-03-18T00:00:00,1.296064853668213,0.800000011920929,4.1365275382995605,-9.40000057220459,12.699999809265137
3,Rozegat 2,2019-02-21T00:00:00,1.1513888835906982,1.2000000476837158,3.667123556137085,-9.300000190734863,14.5
4,Rozegat 2,2022-04-15T00:00:00,0.5910184383392334,0.6000000238418579,3.4684362411499023,-10.0,12.40000057220459
5,Rozegat 2,2023-03-18T00:00:00,1.2900463342666626,0.800000011920929,4.0737810134887695,-9.199999809265137,12.5
6,Rozegat 3,2019-02-21T00:00:00,1.1466666460037231,1.2000000476837158,3.678480625152588,-9.300000190734863,14.5
7,Rozegat 3,2022-04-15T00:00:00,0.5943980813026428,0.6000000238418579,3.473153829574585,-10.199999809265137,12.300000190734863
8,Rozegat 3,2023-03-18T00:00:00,1.2929166555404663,0.800000011920929,4.083383560180664,-9.40000057220459,12.5
9,Meaban 1,2019-02-20T00:00:00,0.6783332824707031,0.10000000149011612,4.368734836578369,-12.5,13.199999809265137
10,Meaban 1,2022-03-24T00:00:00,0.8777315020561218,0.699999988079071,3.882310390472412,-7.800000190734863,14.5
11,Meaban 1,2023-03-15T00:00:00,0.34097233414649963,-0.44999998807907104,4.926843643188477,-11.199999809265137,15.199999809265137
12,Glenan 2,2019-02-19T00:00:00,0.75087970495224,0.44999998807907104,4.895362377166748,-14.90000057220459,16.30000114440918
13,Glenan 2,2022-03-26T00:00:00,0.8056018948554993,0.6000000238418579,4.345004558563232,-9.0,15.800000190734863
14,Glenan 2,2023-03-16T00:00:00,0.6601389646530151,-0.30000001192092896,5.1847639083862305,-12.100000381469727,15.800000190734863
15,Saint-Brieuc 1,2019-02-25T00:00:00,1.2000000476837158,2.200000047683716,4.371809959411621,-12.800000190734863,11.100000381469727
16,Saint-Brieuc 1,2022-03-29T00:00:00,1.0287964344024658,1.399999976158142,3.814424991607666,-9.199999809265137,12.0
17,Saint-Brieuc 1,2023-03-21T00:00:00,0.9364352226257324,1.399999976158142,4.251367092132568,-12.5,11.90000057220459
18,Saint-Brieuc 2,2019-02-25T00:00:00,1.1843981742858887,2.1500000953674316,4.254340171813965,-12.40000057220459,11.100000381469727
19,Saint-Brieuc 2,2022-03-29T00:00:00,1.0218981504440308,1.399999976158142,3.6917245388031006,-9.0,11.699999809265137
20,Saint-Brieuc 2,2023-03-21T00:00:00,0.9514814615249634,1.399999976158142,4.124852180480957,-12.40000057220459,11.699999809265137
21,Saint-Brieuc 3,2019-02-25T00:00:00,1.1948611736297607,2.200000047683716,4.361190319061279,-12.800000190734863,11.100000381469727
22,Saint-Brieuc 3,2022-03-29T00:00:00,1.0250462293624878,1.399999976158142,3.8038086891174316,-9.199999809265137,11.90000057220459
23,Saint-Brieuc 3,2023-03-21T00:00:00,0.9350461363792419,1.399999976158142,4.237404823303223,-12.5,11.90000057220459
24,Belle-ile 1,2019-02-20T00:00:00,0.4258333444595337,0.10000000149011612,5.233743667602539,-14.800000190734863,13.699999809265137
25,Belle-ile 1,2022-03-25T00:00:00,0.5703240036964417,0.699999988079071,4.536855697631836,-9.40000057220459,14.5
