,point,date,uabr_mean,uabr_median,uabr_sd,uabr_min,uabr_max
0,Rozegat 1,2019-02-21T00:00:00,0.02175462804734707,0.019999999552965164,0.013868595473468304,0.0,0.07999999821186066
1,Rozegat 1,2022-04-15T00:00:00,0.019180554896593094,0.009999999776482582,0.013771440833806992,-0.009999999776482582,0.12999999523162842
2,Rozegat 1,2023-03-18T00:00:00,0.0232962965965271,0.019999999552965164,0.01563664898276329,-0.009999999776482582,0.11999999731779099
3,Rozegat 2,2019-02-21T00:00:00,0.014245369471609592,0.009999999776482582,0.010731788352131844,0.0,0.05999999865889549
4,Rozegat 2,2022-04-15T00:00:00,0.01236111018806696,0.009999999776482582,0.01115875132381916,-0.019999999552965164,0.09999999403953552
5,Rozegat 2,2023-03-18T00:00:00,0.016143517568707466,0.009999999776482582,0.013343321159482002,-0.009999999776482582,0.08999999612569809
6,Rozegat 3,2019-02-21T00:00:00,0.016175925731658936,0.009999999776482582,0.014776312746107578,0.0,0.14000000059604645
7,Rozegat 3,2022-04-15T00:00:00,0.013254629448056221,0.009999999776482582,0.015462318435311317,-0.019999999552965164,0.1899999976158142
8,Rozegat 3,2023-03-18T00:00:00,0.017527775838971138,0.009999999776482582,0.017826300114393234,-0.009999999776482582,0.17000000178813934
9,Meaban 1,2019-02-20T00:00:00,0.14734722673892975,0.12999999523162842,0.07722831517457962,0.019999999552965164,0.3700000047683716
10,Meaban 1,2022-03-24T00:00:00,0.15375925600528717,0.14000000059604645,0.07973821461200714,0.009999999776482582,0.38999998569488525
11,Meaban 1,2023-03-15T00:00:00,0.13853240013122559,0.12999999523162842,0.06924743205308914,-0.019999999552965164,0.47999998927116394
12,Glenan 2,2019-02-19T00:00:00,0.3628194034099579,0.29999998211860657,0.21249958872795105,0.07000000029802322,1.1999999284744263
13,Glenan 2,2022-03-26T00:00:00,0.39984259009361267,0.35999998450279236,0.2293310910463333,0.07000000029802322,1.0699999332427979
14,Glenan 2,2023-03-16T00:00:00,0.40292590856552124,0.3499999940395355,0.2236723154783249,0.07999999821186066,1.399999976158142
15,Saint-Brieuc 1,2019-02-25T00:00:00,-0.012384258210659027,-0.009999999776482582,0.015661656856536865,-0.08999999612569809,0.009999999776482582
16,Saint-Brieuc 1,2022-03-29T00:00:00,-0.012856481596827507,-0.009999999776482582,0.016424285247921944,-0.08999999612569809,0.019999999552965164
17,Saint-Brieuc 1,2023-03-21T00:00:00,-0.0010185184655711055,0.0,0.00926361046731472,-0.05999999865889549,0.029999999329447746
18,Saint-Brieuc 2,2019-02-25T00:00:00,-0.027027776464819908,-0.019999999552965164,0.02749846875667572,-0.1599999964237213,0.009999999776482582
19,Saint-Brieuc 2,2022-03-29T00:00:00,-0.027393518015742302,-0.019999999552965164,0.02561851032078266,-0.14000000059604645,0.019999999552965164
20,Saint-Brieuc 2,2023-03-21T00:00:00,-0.023874999955296516,-0.019999999552965164,0.024101119488477707,-0.19999998807907104,0.009999999776482582
21,Saint-Brieuc 3,2019-02-25T00:00:00,-0.005967592354863882,0.0,0.012772541493177414,-0.07000000029802322,0.029999999329447746
22,Saint-Brieuc 3,2022-03-29T00:00:00,0.006851851474493742,0.009999999776482582,0.01115531288087368,-0.03999999910593033,0.07000000029802322
23,Saint-Brieuc 3,2023-03-21T00:00:00,0.004546296317130327,0.0,0.01134385447949171,-0.08999999612569809,0.04999999701976776
24,Belle-ile 1,2019-02-20T00:00:00,-0.020435184240341187,-0.009999999776482582,0.02709713950753212,-0.17000000178813934,0.029999999329447746
25,Belle-ile 1,2022-03-25T00:00:00,-0.026819445192813873,-0.019999999552965164,0.028866305947303772,-0.14999999105930328,0.009999999776482582
26,Belle-ile 1,2023-03-15T00:00:00,-0.027296295389533043,-0.019999999552965164,0.028357917442917824,-0.14999999105930328,0.009999999776482582
27,Belle-ile 2,2019-02-20T00:00:00,-0.020435184240341187,-0.009999999776482582,0.02709713950753212,-0.17000000178813934,0.029999999329447746
28,Belle-ile 2,2022-03-25T00:00:00,-0.026819445192813873,-0.019999999552965164,0.028866305947303772,-0.14999999105930328,0.009999999776482582
29,Belle-ile 2,2023-03-15T00:00:00,-0.027296295389533043,-0.019999999552965164,0.028357917442917824,-0.14999999105930328,0.009999999776482582
30,Belle-ile 3,2019-02-20T00:00:00,-0.020435184240341187,-0.009999999776482582,0.02709713950753212,-0.17000000178813934,0.029999999329447746
31,Belle-ile 3,2022-03-25T00:00:00,-0.026819445192813873,-0.019999999552965164,0.028866305947303772,-0.14999999105930328,0.009999999776482582
32,Belle-ile 3,2023-03-15T00:00:00,-0.027296295389533043,-0.019999999552965164,0.028357917442917824,-0.14999999105930328,0.009999999776482582
33,Camaret 1,2019-02-22T00:00:00,0.280435174703598,0.23999999463558197,0.1753522753715515,0.04999999701976776,0.85999995470047
34,Camaret 1,2022-03-27T00:00:00,0.3125740587711334,0.25999999046325684,0.1981096863746643,0.04999999701976776,0.9399999976158142
35,Camaret 1,2023-03-18T00:00:00,0.290620356798172,0.26999998092651367,0.1593356728553772,0.05999999865889549,1.1100000143051147
36,Camaret 3,2019-02-22T00:00:00,0.30235645174980164,0.25999999046325684,0.1824885904788971,0.04999999701976776,0.8899999856948853
37,Camaret 3,2022-03-27T00:00:00,0.332444429397583,0.28999999165534973,0.20346294343471527,0.04999999701976776,0.9599999785423279
38,Camaret 3,2023-03-18T00:00:00,0.3079490661621094,0.28999999165534973,0.16286015510559082,0.05999999865889549,1.149999976158142
39,Molene 1,2019-02-22T00:00:00,-0.08166666328907013,-0.07000000029802322,0.1537608653306961,-0.8499999642372131,0.4899999797344208
40,Molene 1,2022-03-27T00:00:00,-0.07323611527681351,-0.05999999865889549,0.18573735654354095,-0.8100000023841858,0.7099999785423279
41,Molene 1,2023-03-19T00:00:00,-0.03571758791804314,-0.029999999329447746,0.21133600175380707,-0.8899999856948853,0.6800000071525574
42,Molene 2,2019-02-22T00:00:00,-0.08166666328907013,-0.07000000029802322,0.1537608653306961,-0.8499999642372131,0.4899999797344208
43,Molene 2,2022-03-27T00:00:00,-0.07323611527681351,-0.05999999865889549,0.18573735654354095,-0.8100000023841858,0.7099999785423279
44,Molene 2,2023-03-19T00:00:00,-0.03571758791804314,-0.029999999329447746,0.21133600175380707,-0.8899999856948853,0.6800000071525574
45,Morlaix 1,2019-02-12T00:00:00,0.05180555209517479,0.03999999910593033,0.0415874719619751,-0.11999999731779099,0.22999998927116394
46,Morlaix 1,2022-03-02T00:00:00,0.06222222000360489,0.04999999701976776,0.04729210212826729,-0.04999999701976776,0.28999999165534973
47,Morlaix 1,2023-02-20T00:00:00,0.04085185378789902,0.03999999910593033,0.04109064117074013,-0.07000000029802322,0.20999999344348907
48,Morlaix 2,2019-02-12T00:00:00,-0.10750462114810944,-0.08999999612569809,0.08375518023967743,-0.5,0.05999999865889549
