,point,date,cur_mean,cur_median,cur_sd,cur_min,cur_max
0,Rozegat 1,2019-02-21T00:00:00,0.15461966395378113,0.16031219065189362,0.07316317409276962,0.0,0.34539830684661865
1,Rozegat 1,2022-04-15T00:00:00,0.1400403380393982,0.13601469993591309,0.07754507660865784,0.0,0.3178049623966217
2,Rozegat 1,2023-03-18T00:00:00,0.14124807715415955,0.14035668969154358,0.07642106711864471,0.009999999776482582,0.3201562166213989
3,Rozegat 2,2019-02-21T00:00:00,0.22255395352840424,0.22022715210914612,0.11017519235610962,0.0,0.5481787919998169
4,Rozegat 2,2022-04-15T00:00:00,0.1952681690454483,0.191049724817276,0.11174321919679642,0.009999999776482582,0.44598203897476196
5,Rozegat 2,2023-03-18T00:00:00,0.1973036378622055,0.19157172739505768,0.11015132814645767,0.009999999776482582,0.4601086974143982
6,Rozegat 3,2019-02-21T00:00:00,0.21195712685585022,0.21095022559165955,0.11287964880466461,0.0,0.532634973526001
7,Rozegat 3,2022-04-15T00:00:00,0.19133232533931732,0.1835755854845047,0.11193147301673889,0.0,0.44418463110923767
8,Rozegat 3,2023-03-18T00:00:00,0.19351735711097717,0.18867962062358856,0.11009806394577026,0.0,0.4579301178455353
9,Meaban 1,2019-02-20T00:00:00,0.11901213973760605,0.1004987508058548,0.07300777733325958,0.0,0.3832753598690033
10,Meaban 1,2022-03-24T00:00:00,0.10492746531963348,0.1004987508058548,0.052136704325675964,0.009999999776482582,0.23194825649261475
11,Meaban 1,2023-03-15T00:00:00,0.10350097715854645,0.1004987508058548,0.05107412487268448,0.009999999776482582,0.23194825649261475
12,Glenan 2,2019-02-19T00:00:00,0.11285745352506638,0.11704699695110321,0.05850766599178314,0.0,0.27856776118278503
13,Glenan 2,2022-03-26T00:00:00,0.10185907036066055,0.1044030636548996,0.05710538476705551,0.0,0.2308679223060608
14,Glenan 2,2023-03-16T00:00:00,0.1005927324295044,0.1044030636548996,0.055302124470472336,0.0,0.2308679223060608
15,Saint-Brieuc 1,2019-02-25T00:00:00,0.5281315445899963,0.5279204249382019,0.2861919403076172,0.009999999776482582,1.2924394607543945
16,Saint-Brieuc 1,2022-03-29T00:00:00,0.4835594892501831,0.46717122197151184,0.2775920629501343,0.009999999776482582,1.1308845281600952
17,Saint-Brieuc 1,2023-03-21T00:00:00,0.48555731773376465,0.4714869558811188,0.27184611558914185,0.009999999776482582,1.1308845281600952
