,point,date,ucur_mean,ucur_median,ucur_sd,ucur_min,ucur_max
0,Rozegat 1,2019-02-21T00:00:00,0.006430554669350386,-0.009999999776482582,0.16437560319900513,-0.26999998092651367,0.3199999928474426
1,Rozegat 1,2022-04-15T00:00:00,-6.018504427629523e-05,0.0,0.15516461431980133,-0.29999998211860657,0.3100000023841858
2,Rozegat 1,2023-03-18T00:00:00,9.722222603159025e-05,0.0,0.15564660727977753,-0.3100000023841858,0.3100000023841858
3,Rozegat 2,2019-02-21T00:00:00,0.016777776181697845,-0.009999999776482582,0.17854110896587372,-0.3400000035762787,0.38999998569488525
4,Rozegat 2,2022-04-15T00:00:00,3.240766454837285e-05,0.0,0.16661901772022247,-0.32999998331069946,0.32999998331069946
5,Rozegat 2,2023-03-18T00:00:00,-4.1666626202641055e-05,0.0,0.16726183891296387,-0.3400000035762787,0.3400000035762787
6,Rozegat 3,2019-02-21T00:00:00,0.009245370514690876,0.0,0.20257173478603363,-0.4099999964237213,0.41999998688697815
7,Rozegat 3,2022-04-15T00:00:00,-7.870368426665664e-05,0.0,0.18992088735103607,-0.3799999952316284,0.3799999952316284
8,Rozegat 3,2023-03-18T00:00:00,-4.166664075455628e-05,0.0,0.1907707154750824,-0.38999998569488525,0.38999998569488525
9,Meaban 1,2019-02-20T00:00:00,0.02250925824046135,0.029999999329447746,0.034707773476839066,-0.07000000029802322,0.10999999940395355
10,Meaban 1,2022-03-24T00:00:00,7.870369154261425e-05,0.0,0.0285099595785141,-0.05999999865889549,0.05999999865889549
11,Meaban 1,2023-03-15T00:00:00,7.870370609452948e-05,0.0,0.028122471645474434,-0.05999999865889549,0.05999999865889549
12,Glenan 2,2019-02-19T00:00:00,0.020101850852370262,0.04999999701976776,0.11807870864868164,-0.25999999046325684,0.22999998927116394
13,Glenan 2,2022-03-26T00:00:00,0.00013888906687498093,0.0,0.11064532399177551,-0.2199999988079071,0.2199999988079071
14,Glenan 2,2023-03-16T00:00:00,-9.259340004064143e-06,0.0,0.10878197103738785,-0.2199999988079071,0.2199999988079071
15,Saint-Brieuc 1,2019-02-25T00:00:00,-0.049518514424562454,-0.09999999403953552,0.22446489334106445,-0.44999998807907104,0.47999998927116394
16,Saint-Brieuc 1,2022-03-29T00:00:00,-0.0001851852284744382,0.0,0.20980426669120789,-0.41999998688697815,0.41999998688697815
17,Saint-Brieuc 1,2023-03-21T00:00:00,-0.00022222218103706837,0.0,0.20931844413280487,-0.41999998688697815,0.41999998688697815
18,Saint-Brieuc 2,2019-02-25T00:00:00,0.005611111409962177,-0.029999999329447746,0.18075509369373322,-0.32999998331069946,0.429999977350235
19,Saint-Brieuc 2,2022-03-29T00:00:00,-0.00017592593212611973,0.0,0.17046305537223816,-0.3400000035762787,0.3400000035762787
20,Saint-Brieuc 2,2023-03-21T00:00:00,-0.00018981484754476696,0.0,0.16999021172523499,-0.3400000035762787,0.3400000035762787
21,Saint-Brieuc 3,2019-02-25T00:00:00,-0.04851851612329483,-0.09999999403953552,0.2429790496826172,-0.47999998927116394,0.5199999809265137
22,Saint-Brieuc 3,2022-03-29T00:00:00,-0.00030092598171904683,0.0,0.22778065502643585,-0.4599999785423279,0.44999998807907104
23,Saint-Brieuc 3,2023-03-21T00:00:00,-0.0001157406295533292,0.0,0.2274409383535385,-0.4599999785423279,0.4599999785423279
24,Belle-ile 1,2019-02-20T00:00:00,0.0009675925248302519,0.009999999776482582,0.06461594998836517,-0.14000000059604645,0.10999999940395355
25,Belle-ile 1,2022-03-25T00:00:00,5.5555552535224706e-05,0.0,0.06152232736349106,-0.11999999731779099,0.11999999731779099
26,Belle-ile 1,2023-03-15T00:00:00,8.333336154464632e-05,0.0,0.060540713369846344,-0.11999999731779099,0.11999999731779099
27,Belle-ile 2,2019-02-20T00:00:00,0.0009675925248302519,0.009999999776482582,0.06461594998836517,-0.14000000059604645,0.10999999940395355
28,Belle-ile 2,2022-03-25T00:00:00,5.5555552535224706e-05,0.0,0.06152232736349106,-0.11999999731779099,0.11999999731779099
29,Belle-ile 2,2023-03-15T00:00:00,8.333336154464632e-05,0.0,0.060540713369846344,-0.11999999731779099,0.11999999731779099
