,point,date,fp_mean,fp_median,fp_sd,fp_min,fp_max
0,Rozegat 1,2019-02-21T00:00:00,0.25974956154823303,0.11900000274181366,0.19357360899448395,0.0560000017285347,0.6640000343322754
1,Rozegat 1,2022-04-15T00:00:00,0.3563847541809082,0.3840000033378601,0.2514099180698395,0.046000003814697266,0.9040000438690186
2,Rozegat 1,2023-03-18T00:00:00,0.35348817706108093,0.3660000264644623,0.22832036018371582,0.04700000211596489,0.8870000243186951
3,Rozegat 2,2019-02-21T00:00:00,0.26875418424606323,0.1290000081062317,0.19721028208732605,0.05700000375509262,0.6650000214576721
4,Rozegat 2,2022-04-15T00:00:00,0.39165395498275757,0.4240000247955322,0.2563045024871826,0.046000003814697266,0.9080000519752502
5,Rozegat 2,2023-03-18T00:00:00,0.3925620913505554,0.3850000202655792,0.2339220643043518,0.04800000041723251,0.909000039100647
6,Rozegat 3,2019-02-21T00:00:00,0.29470694065093994,0.3360000252723694,0.20760075747966766,0.058000002056360245,0.6650000214576721
7,Rozegat 3,2022-04-15T00:00:00,0.43289023637771606,0.48500001430511475,0.24738547205924988,0.046000003814697266,0.909000039100647
8,Rozegat 3,2023-03-18T00:00:00,0.4216383099555969,0.4240000247955322,0.22741462290287018,0.04800000041723251,0.9050000309944153
9,Meaban 1,2019-02-20T00:00:00,0.10451158136129379,0.0860000029206276,0.05347566306591034,0.055000003427267075,0.3760000169277191
10,Meaban 1,2022-03-24T00:00:00,0.09774954617023468,0.07900000363588333,0.05825408920645714,0.049000002443790436,0.3750000298023224
11,Meaban 1,2023-03-15T00:00:00,0.10198055952787399,0.08400000631809235,0.06103448569774628,0.04800000041723251,0.5240000486373901
12,Glenan 2,2019-02-19T00:00:00,0.09064676612615585,0.0860000029206276,0.02485792525112629,0.05000000074505806,0.4000000059604645
13,Glenan 2,2022-03-26T00:00:00,0.08114861696958542,0.07800000160932541,0.020496468991041183,0.05000000074505806,0.31200000643730164
14,Glenan 2,2023-03-16T00:00:00,0.08921759575605392,0.08300000429153442,0.039368368685245514,0.04700000211596489,0.39000001549720764
15,Saint-Brieuc 1,2019-02-25T00:00:00,0.10901527106761932,0.08400000631809235,0.06476903706789017,0.05000000074505806,0.445000022649765
16,Saint-Brieuc 1,2022-03-29T00:00:00,0.10220740735530853,0.07900000363588333,0.058772142976522446,0.05100000277161598,0.3920000195503235
17,Saint-Brieuc 1,2023-03-21T00:00:00,0.10588425397872925,0.08300000429153442,0.05414387211203575,0.055000003427267075,0.48900002241134644
18,Saint-Brieuc 2,2019-02-25T00:00:00,0.11697917431592941,0.0820000022649765,0.07851509749889374,0.05000000074505806,0.49900001287460327
19,Saint-Brieuc 2,2022-03-29T00:00:00,0.10761203616857529,0.07800000160932541,0.06947826594114304,0.05000000074505806,0.47300001978874207
20,Saint-Brieuc 2,2023-03-21T00:00:00,0.11267407983541489,0.08300000429153442,0.06489028036594391,0.05400000140070915,0.5110000371932983
21,Saint-Brieuc 3,2019-02-25T00:00:00,0.10924121737480164,0.08400000631809235,0.065519779920578,0.05000000074505806,0.4440000355243683
22,Saint-Brieuc 3,2022-03-29T00:00:00,0.10253102332353592,0.07900000363588333,0.059761643409729004,0.05000000074505806,0.3890000283718109
23,Saint-Brieuc 3,2023-03-21T00:00:00,0.10492084175348282,0.08300000429153442,0.053364235907793045,0.055000003427267075,0.4410000145435333
24,Belle-ile 1,2019-02-20T00:00:00,0.095621757209301,0.0820000022649765,0.056893445551395416,0.05000000074505806,0.43400001525878906
25,Belle-ile 1,2022-03-25T00:00:00,0.09296250343322754,0.07700000703334808,0.0634467825293541,0.05000000074505806,0.45100003480911255
26,Belle-ile 1,2023-03-15T00:00:00,0.10589491575956345,0.0820000022649765,0.06918112188577652,0.04800000041723251,0.4220000207424164
27,Belle-ile 2,2019-02-20T00:00:00,0.095621757209301,0.0820000022649765,0.056893445551395416,0.05000000074505806,0.43400001525878906
28,Belle-ile 2,2022-03-25T00:00:00,0.09296250343322754,0.07700000703334808,0.0634467825293541,0.05000000074505806,0.45100003480911255
29,Belle-ile 2,2023-03-15T00:00:00,0.10589491575956345,0.0820000022649765,0.06918112188577652,0.04800000041723251,0.4220000207424164
30,Belle-ile 3,2019-02-20T00:00:00,0.095621757209301,0.0820000022649765,0.056893445551395416,0.05000000074505806,0.43400001525878906
31,Belle-ile 3,2022-03-25T00:00:00,0.09296250343322754,0.07700000703334808,0.0634467825293541,0.05000000074505806,0.45100003480911255
32,Belle-ile 3,2023-03-15T00:00:00,0.10589491575956345,0.0820000022649765,0.06918112188577652,0.04800000041723251,0.4220000207424164
33,Camaret 1,2019-02-22T00:00:00,0.08803611993789673,0.08300000429153442,0.021169086918234825,0.05000000074505806,0.2120000123977661
34,Camaret 1,2022-03-27T00:00:00,0.08122685551643372,0.07700000703334808,0.02135501243174076,0.04700000211596489,0.1990000158548355
35,Camaret 1,2023-03-18T00:00:00,0.0831713005900383,0.0820000022649765,0.01367101352661848,0.04800000041723251,0.18300001323223114
36,Camaret 3,2019-02-22T00:00:00,0.08667546510696411,0.0820000022649765,0.019808709621429443,0.049000002443790436,0.21400001645088196
37,Camaret 3,2022-03-27T00:00:00,0.07610464096069336,0.07600000500679016,0.459764689207077,-18.4320011138916,10.712000846862793
38,Camaret 3,2023-03-18T00:00:00,0.0820314884185791,0.08100000023841858,0.01300857774913311,0.04700000211596489,0.1810000091791153
39,Molene 1,2019-02-22T00:00:00,0.09022638946771622,0.08300000429153442,0.02691045217216015,0.05100000277161598,0.24500000476837158
40,Molene 1,2022-03-27T00:00:00,0.08164305239915848,0.07700000703334808,0.0231422521173954,0.05300000309944153,0.2850000262260437
41,Molene 1,2023-03-19T00:00:00,0.0850592628121376,0.0820000022649765,0.021395141258835793,0.04700000211596489,0.27000001072883606
42,Molene 2,2019-02-22T00:00:00,0.09022638946771622,0.08300000429153442,0.02691045217216015,0.05100000277161598,0.24500000476837158
43,Molene 2,2022-03-27T00:00:00,0.08164305239915848,0.07700000703334808,0.0231422521173954,0.05300000309944153,0.2850000262260437
44,Molene 2,2023-03-19T00:00:00,0.0850592628121376,0.0820000022649765,0.021395141258835793,0.04700000211596489,0.27000001072883606
45,Morlaix 1,2019-02-12T00:00:00,0.0972379595041275,0.0820000022649765,0.044068485498428345,0.04800000041723251,0.3110000193119049
