,point,date,wnd_mean,wnd_median,wnd_sd,wnd_min,wnd_max
0,Rozegat 1,2019-02-21T00:00:00,5.037703037261963,4.634620189666748,2.855768918991089,0.20000000298023224,14.911069869995117
1,Rozegat 1,2022-04-15T00:00:00,4.711500644683838,4.20475959777832,2.529202699661255,0.30000001192092896,13.75390911102295
2,Rozegat 1,2023-03-18T00:00:00,5.578256130218506,4.970914840698242,3.0932021141052246,0.10000000149011612,13.790575981140137
3,Rozegat 2,2019-02-21T00:00:00,4.947508811950684,4.554119110107422,2.8013715744018555,0.20000000298023224,14.697278022766113
4,Rozegat 2,2022-04-15T00:00:00,4.63064432144165,4.123105525970459,2.486255645751953,0.30000001192092896,13.582341194152832
5,Rozegat 2,2023-03-18T00:00:00,5.480372428894043,4.865180015563965,3.041578769683838,0.0,13.647343635559082
6,Rozegat 3,2019-02-21T00:00:00,4.977993011474609,4.563441276550293,2.8213753700256348,0.20000000298023224,14.697278022766113
7,Rozegat 3,2022-04-15T00:00:00,4.653700351715088,4.153910160064697,2.501873731613159,0.2828427255153656,13.679547309875488
8,Rozegat 3,2023-03-18T00:00:00,5.507625102996826,4.897954940795898,3.057157278060913,0.1414213627576828,13.882722854614258
9,Meaban 1,2019-02-20T00:00:00,6.678246974945068,6.005414009094238,3.533050298690796,0.30000001192092896,18.811166763305664
10,Meaban 1,2022-03-24T00:00:00,6.245995044708252,5.752389907836914,3.118438243865967,0.6000000238418579,17.488853454589844
11,Meaban 1,2023-03-15T00:00:00,7.167506217956543,6.580273628234863,3.5454518795013428,0.6324555277824402,20.97736930847168
12,Glenan 2,2019-02-19T00:00:00,7.404353618621826,6.9932098388671875,3.7118804454803467,0.22360680997371674,17.670879364013672
13,Glenan 2,2022-03-26T00:00:00,6.8476715087890625,6.426897048950195,3.388206958770752,0.3162277638912201,19.209373474121094
14,Glenan 2,2023-03-16T00:00:00,7.686490058898926,7.027799606323242,3.938222885131836,0.5099019408226013,19.267589569091797
15,Saint-Brieuc 1,2019-02-25T00:00:00,6.150413990020752,5.755862236022949,2.7082324028015137,0.8544003963470459,15.713688850402832
16,Saint-Brieuc 1,2022-03-29T00:00:00,6.053342819213867,5.604016304016113,2.7497141361236572,0.44721361994743347,15.524175643920898
17,Saint-Brieuc 1,2023-03-21T00:00:00,6.512509346008301,6.124947547912598,2.728860378265381,0.44721361994743347,17.519132614135742
18,Saint-Brieuc 2,2019-02-25T00:00:00,6.014103412628174,5.597321033477783,2.6767234802246094,0.8944272398948669,15.431138038635254
19,Saint-Brieuc 2,2022-03-29T00:00:00,5.890854835510254,5.443803787231445,2.6962945461273193,0.5099019408226013,14.985660552978516
20,Saint-Brieuc 2,2023-03-21T00:00:00,6.335752010345459,5.910583019256592,2.681311845779419,0.30000001192092896,16.949926376342773
21,Saint-Brieuc 3,2019-02-25T00:00:00,6.144620418548584,5.725818634033203,2.7127416133880615,0.8544003963470459,15.713688850402832
22,Saint-Brieuc 3,2022-03-29T00:00:00,6.0484466552734375,5.594640254974365,2.7520415782928467,0.44721361994743347,15.524175643920898
23,Saint-Brieuc 3,2023-03-21T00:00:00,6.502485275268555,6.103277683258057,2.7283804416656494,0.44721361994743347,17.519132614135742
24,Belle-ile 1,2019-02-20T00:00:00,7.8176398277282715,7.425966739654541,3.822998046875,0.36055514216423035,22.077136993408203
25,Belle-ile 1,2022-03-25T00:00:00,7.161769390106201,6.949460029602051,3.345125913619995,0.5,18.764060974121094
26,Belle-ile 1,2023-03-15T00:00:00,8.275678634643555,7.981851577758789,3.8925440311431885,1.0440306663513184,23.712444305419922
27,Belle-ile 2,2019-02-20T00:00:00,7.8176398277282715,7.425966739654541,3.822998046875,0.36055514216423035,22.077136993408203
28,Belle-ile 2,2022-03-25T00:00:00,7.161769390106201,6.949460029602051,3.345125913619995,0.5,18.764060974121094
29,Belle-ile 2,2023-03-15T00:00:00,8.275678634643555,7.981851577758789,3.8925440311431885,1.0440306663513184,23.712444305419922
30,Belle-ile 3,2019-02-20T00:00:00,7.8176398277282715,7.425966739654541,3.822998046875,0.36055514216423035,22.077136993408203
31,Belle-ile 3,2022-03-25T00:00:00,7.161769390106201,6.949460029602051,3.345125913619995,0.5,18.764060974121094
32,Belle-ile 3,2023-03-15T00:00:00,8.275678634643555,7.981851577758789,3.8925440311431885,1.0440306663513184,23.712444305419922
33,Camaret 1,2019-02-22T00:00:00,6.342381954193115,5.943904399871826,3.4068360328674316,0.10000000149011612,17.376996994018555
34,Camaret 1,2022-03-27T00:00:00,6.2215399742126465,5.769315719604492,3.2129733562469482,0.5,16.502424240112305
35,Camaret 1,2023-03-18T00:00:00,6.801143169403076,6.139625549316406,3.5775649547576904,0.4242640733718872,17.91786766052246
36,Camaret 3,2019-02-22T00:00:00,6.348285675048828,5.961543560028076,3.4163498878479004,0.10000000149011612,17.474838256835938
37,Camaret 3,2022-03-27T00:00:00,6.222858905792236,5.775376796722412,3.2199010848999023,0.5,16.546903610229492
38,Camaret 3,2023-03-18T00:00:00,6.808051109313965,6.139625549316406,3.585879325866699,0.4242640733718872,17.91786766052246
39,Molene 1,2019-02-22T00:00:00,7.889089584350586,7.644932746887207,3.8216774463653564,0.5385164618492126,19.08821678161621
40,Molene 1,2022-03-27T00:00:00,7.50891637802124,7.174258232116699,3.569493532180786,0.5385164618492126,17.86197280883789
41,Molene 1,2023-03-19T00:00:00,7.943719387054443,7.2034711837768555,3.842292308807373,0.5,20.529247283935547
42,Molene 2,2019-02-22T00:00:00,7.889089584350586,7.644932746887207,3.8216774463653564,0.5385164618492126,19.08821678161621
43,Molene 2,2022-03-27T00:00:00,7.50891637802124,7.174258232116699,3.569493532180786,0.5385164618492126,17.86197280883789
44,Molene 2,2023-03-19T00:00:00,7.943719387054443,7.2034711837768555,3.842292308807373,0.5,20.529247283935547
45,Morlaix 1,2019-02-12T00:00:00,6.32413911819458,6.018720626831055,3.0975520610809326,0.22360680997371674,15.401948928833008
46,Morlaix 1,2022-03-02T00:00:00,6.623621463775635,6.01207160949707,3.1146793365478516,0.1414213627576828,15.720369338989258
47,Morlaix 1,2023-02-20T00:00:00,6.509212017059326,5.818075180053711,3.132444381713867,0.22360680997371674,14.96261978149414
48,Morlaix 2,2019-02-12T00:00:00,5.920884132385254,5.637818336486816,2.899134635925293,0.22360680997371674,14.455449104309082
49,Morlaix 2,2022-03-02T00:00:00,6.190893173217773,5.608030319213867,2.9084746837615967,0.3162277638912201,14.523085594177246
50,Morlaix 2,2023-02-20T00:00:00,6.067012310028076,5.351167678833008,2.955080509185791,0.20000000298023224,13.99464225769043
51,Morlaix 3,2019-02-12T00:00:00,5.920884132385254,5.637818336486816,2.899134635925293,0.22360680997371674,14.455449104309082
52,Morlaix 3,2022-03-02T00:00:00,6.190893173217773,5.608030319213867,2.9084746837615967,0.3162277638912201,14.523085594177246
53,Morlaix 3,2023-02-20T00:00:00,6.067012310028076,5.351167678833008,2.955080509185791,0.20000000298023224,13.99464225769043
54,Trevignon 1,2019-02-19T00:00:00,6.186911582946777,5.728001594543457,3.2123498916625977,0.36055514216423035,14.59931468963623
55,Trevignon 1,2022-03-25T00:00:00,5.79720401763916,5.387948989868164,2.9422683715820312,0.5,17.83395767211914
56,Trevignon 1,2023-03-16T00:00:00,6.511964321136475,5.900847434997559,3.3978374004364014,0.2828427255153656,16.63009262084961
57,Trevignon 2,2019-02-19T00:00:00,6.186911582946777,5.728001594543457,3.2123498916625977,0.36055514216423035,14.59931468963623
58,Trevignon 2,2022-03-25T00:00:00,5.79720401763916,5.387948989868164,2.9422683715820312,0.5,17.83395767211914
59,Trevignon 2,2023-03-16T00:00:00,6.511964321136475,5.900847434997559,3.3978374004364014,0.2828427255153656,16.63009262084961
60,Meaban 2,2019-02-20T00:00:00,6.678246974945068,6.005414009094238,3.533050298690796,0.30000001192092896,18.811166763305664
61,Meaban 2,2022-03-24T00:00:00,6.245995044708252,5.752389907836914,3.118438243865967,0.6000000238418579,17.488853454589844
62,Meaban 2,2023-03-15T00:00:00,7.167506217956543,6.580273628234863,3.5454518795013428,0.6324555277824402,20.97736930847168
63,Keraliou 1,2019-02-21T00:00:00,4.80812931060791,4.416446208953857,2.7085678577423096,0.22360680997371674,14.534441947937012
64,Keraliou 1,2022-04-15T00:00:00,4.591211318969727,4.079828262329102,2.436640739440918,0.41231057047843933,13.34166431427002
65,Keraliou 1,2023-03-18T00:00:00,5.399514198303223,4.80832576751709,2.9748802185058594,0.41231057047843933,13.375350952148438
66,Keraliou 2,2019-02-21T00:00:00,4.838728904724121,4.440721035003662,2.7269980907440186,0.22360680997371674,14.632840156555176
67,Keraliou 2,2022-04-15T00:00:00,4.618478775024414,4.104875087738037,2.4522738456726074,0.41231057047843933,13.439122200012207
68,Keraliou 2,2023-03-18T00:00:00,5.432958126068115,4.827007293701172,2.9907045364379883,0.4000000059604645,13.465883255004883
69,Keraliou 3,2019-02-21T00:00:00,4.936578750610352,4.529348373413086,2.7842183113098145,0.22360680997371674,14.847558975219727
70,Keraliou 3,2022-04-15T00:00:00,4.7029900550842285,4.192848205566406,2.4956300258636475,0.36055514216423035,13.634148597717285
71,Keraliou 3,2023-03-18T00:00:00,5.535250186920166,4.924428939819336,3.044945240020752,0.4000000059604645,13.647344589233398
72,Glenan 1,2019-02-19T00:00:00,7.421416759490967,7.002142429351807,3.713496685028076,0.22360680997371674,17.755281448364258
73,Glenan 1,2022-03-26T00:00:00,6.86441707611084,6.449806213378906,3.3893439769744873,0.22360680997371674,19.209373474121094
74,Glenan 1,2023-03-16T00:00:00,7.706068992614746,7.06646728515625,3.935730218887329,0.5099019408226013,19.337270736694336
75,Glenan 3,2019-02-19T00:00:00,7.307574272155762,6.8377509117126465,3.668792247772217,0.41231057047843933,17.445343017578125
76,Glenan 3,2022-03-26T00:00:00,6.758106231689453,6.334824562072754,3.347303867340088,0.4000000059604645,19.30000114440918
77,Glenan 3,2023-03-16T00:00:00,7.603857517242432,6.988919258117676,3.8809220790863037,0.5,19.237462997436523
78,Camaret 2,2019-02-22T00:00:00,6.348285675048828,5.961543560028076,3.4163498878479004,0.10000000149011612,17.474838256835938
79,Camaret 2,2022-03-27T00:00:00,6.222858905792236,5.775376796722412,3.2199010848999023,0.5,16.546903610229492
80,Camaret 2,2023-03-18T00:00:00,6.808051109313965,6.139625549316406,3.585879325866699,0.4242640733718872,17.91786766052246
81,Molene 3,2019-02-22T00:00:00,7.889089584350586,7.644932746887207,3.8216774463653564,0.5385164618492126,19.08821678161621
82,Molene 3,2022-03-27T00:00:00,7.50891637802124,7.174258232116699,3.569493532180786,0.5385164618492126,17.86197280883789
83,Molene 3,2023-03-19T00:00:00,7.943719387054443,7.2034711837768555,3.842292308807373,0.5,20.529247283935547
84,Trevignon 3,2019-02-19T00:00:00,6.267690658569336,5.818075180053711,3.247391700744629,0.41231057047843933,14.763468742370605
85,Trevignon 3,2022-03-25T00:00:00,5.864917755126953,5.435530662536621,2.9729387760162354,0.5,17.92790985107422
86,Trevignon 3,2023-03-16T00:00:00,6.585115909576416,5.957767009735107,3.435741424560547,0.22360680997371674,16.829736709594727
87,Meaban 3,2019-02-20T00:00:00,6.678246974945068,6.005414009094238,3.533050298690796,0.30000001192092896,18.811166763305664
88,Meaban 3,2022-03-24T00:00:00,6.245995044708252,5.752389907836914,3.118438243865967,0.6000000238418579,17.488853454589844
89,Meaban 3,2023-03-15T00:00:00,7.167506217956543,6.580273628234863,3.5454518795013428,0.6324555277824402,20.97736930847168
