,point,date,abr_mean,abr_median,abr_sd,abr_min,abr_max
0,Rozegat 1,2019-02-21T00:00:00,0.027487335726618767,0.022360678762197495,0.016486583277583122,0.0,0.1140175387263298
1,Rozegat 1,2022-04-15T00:00:00,0.024867231026291847,0.01414213515818119,0.016158945858478546,0.0,0.16401217877864838
2,Rozegat 1,2023-03-18T00:00:00,0.03014259599149227,0.02828427031636238,0.018409883603453636,0.0,0.14422205090522766
3,Rozegat 2,2019-02-21T00:00:00,0.021768376231193542,0.01414213515818119,0.013960222713649273,0.0,0.09848857671022415
4,Rozegat 2,2022-04-15T00:00:00,0.01949651911854744,0.01414213515818119,0.014133182354271412,0.0,0.1414213478565216
5,Rozegat 2,2023-03-18T00:00:00,0.02354002371430397,0.01414213515818119,0.016458047553896904,0.0,0.12727922201156616
6,Rozegat 3,2019-02-21T00:00:00,0.016453806310892105,0.009999999776482582,0.015240782871842384,0.0,0.14035668969154358
7,Rozegat 3,2022-04-15T00:00:00,0.014018635265529156,0.009999999776482582,0.015593388117849827,0.0,0.19026297330856323
8,Rozegat 3,2023-03-18T00:00:00,0.018544083461165428,0.009999999776482582,0.018689872696995735,0.0,0.17262676358222961
9,Meaban 1,2019-02-20T00:00:00,0.26703667640686035,0.2332380712032318,0.14244337379932404,0.05830951780080795,0.6879680156707764
10,Meaban 1,2022-03-24T00:00:00,0.2889169156551361,0.27784886956214905,0.14949485659599304,0.05000000074505806,0.6824221611022949
11,Meaban 1,2023-03-15T00:00:00,0.28434810042381287,0.264007568359375,0.14240652322769165,0.07211102545261383,0.9073588252067566
12,Glenan 2,2019-02-19T00:00:00,0.38196101784706116,0.3178049623966217,0.22639892995357513,0.0707106739282608,1.2681087255477905
13,Glenan 2,2022-03-26T00:00:00,0.43216651678085327,0.3939543068408966,0.248726949095726,0.08062257617712021,1.136529803276062
14,Glenan 2,2023-03-16T00:00:00,0.4251643121242523,0.36769554018974304,0.23849016427993774,0.08544003218412399,1.4876154661178589
15,Saint-Brieuc 1,2019-02-25T00:00:00,0.1632300764322281,0.14000000059604645,0.10865791141986847,0.019999999552965164,0.6419501304626465
16,Saint-Brieuc 1,2022-03-29T00:00:00,0.19836892187595367,0.1599999964237213,0.13293273746967316,0.019999999552965164,0.780064046382904
17,Saint-Brieuc 1,2023-03-21T00:00:00,0.157583087682724,0.13038404285907745,0.09110648930072784,0.019999999552965164,0.5600000023841858
18,Saint-Brieuc 2,2019-02-25T00:00:00,0.21440298855304718,0.18027755618095398,0.14362330734729767,0.019999999552965164,0.8811923861503601
