NOM_SP;CHANGEMENTS;Habitat;METHOD_ECHANT;SITE;Origine;Commentaires
Hippolytidae;Hippolytidae spp.;;;;Reunion 25/05/20;
Hippomedon sp.;Hippomedon denticulatus;;;;Reunion 12/05/16;Intertidal Meuble
Hirudinea sp.;Oceanobdella sp.;;;;M2;Herbiers Intertidaux
Holothuriidae sp.;Holothuroidea spp.;;;;Reunion 19/01/17;
Holothurioidea sp1;Holothuroidea spp.;;;;Reunion 19/01/17;
Holothurioidea spp.;Holothuroidea spp.;;;;Reunion 19/01/17;
Holothuroidea sp1;Holothuroidea spp.;;;;Reunion 19/01/17;
Hormathiidae spp.;Actiniaria spp.;;;;These Nolwenn;Intertidal Meuble
Hyale perieri;Hyale stebbingi;;;;Reunion 12/05/16;Herbiers Intertidaux
Hyale sp.;Hyale stebbingi;;;;Reunion 12/05/16;Herbiers Intertidaux
Hyperoplus immaculatus;Hyperoplus lanceolatus;;;;These Nolwenn;Intertidal Meuble
Hyperoplus lanceolatus;SUPPRIME;;;;Reunion 20/02/17;MA & IM : Changer nom avant suppression
Ianiropsis breviremis;Janira maculosa;;;;Reunion 19/01/17;
Idotea granulosa;Idotea spp.;;;;Reunion 19/01/17;
Idoteidae sp.;SUPPRIME;;;;Reunion 12/05/16;Intertidal Meuble
Idunella longirostris;Sextonia longirostris;;;;Modif VLG 13/02/18;
Inachus sp.;SUPPRIME;;;;Reunion 25/05/20;
Inermonephtys inermis;Nephtys spp.;;;;Reunion 20/02/17;
Iphinoe serrata;Iphinoe spp.;;;;Reunion 12/05/16;Present qu'en Intertidal Meuble et Herbiers Intertidaux
Iphinoe sp.;Iphinoe spp.;;;;Reunion 19/01/17;
Iphinoe tenella;Iphinoe spp.;;;;Reunion 19/01/17;
Ischyrocerus anguipes;SUPPRIME;;;;Reunion 20/02/17;
Isopoda sp.;SUPPRIME;;;;Reunion 20/02/17;
Janiropsis sp.;Ianiropsis sp.;;;;Modif 01/02/18;
Janua sp.;Spirobranchus spp.;;;;M2;Herbiers Intertidaux
Jassa gruneri;Jassa sp.;;;;Reunion 25/05/20;
Johnstonia clymenoides;Maldanidae spp.;;;;M2;Present qu'en Intertidal Meuble et Herbiers Intertidaux
Jorunna tomentosa;Nudibranchia spp.;;;;Reunion 20/02/17;
Jujubinus sp.;Jujubinus striatus;;;;M2;Herbiers Intertidaux + attention  : problemes d'identification entre exasperatus et striatus au depart mais on laisse ici car negligeable à partir de 2006 pour nous potentiellement
Kefersteinia cirrhata;Psamathe fusca;;;;Reunion 19/01/17;
Kirkegaardia dorsobranchialis;Kirkegaardia spp.;;;;Reunion 19/01/17;
Kirkegaardia heterochaeta;Kirkegaardia spp.;;;;Reunion 19/01/17;
Kirkegaardia sp.;Kirkegaardia spp.;;;;Reunion 19/01/17;
Kurtiella bidentata;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Lacuna crassior;Lacuna parva;;;;Reunion 25/05/20;
Lacuna pallidula;SUPPRIME;Herbiers Intertidaux;Carotte;;M2;
Lacuna parva;SUPPRIME;Herbiers Intertidaux;Carotte;;M2;
Lacuna vincta;SUPPRIME;Herbiers Intertidaux;Carotte;;M2;
Lanice conchilega;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
lanice conchilega;Lanice conchilega;;;;Reunion 25/05/20;
Laonice cirrata;Laonice bahusiensis;;;;Reunion 19/01/17;
Laonice sp.;Laonice bahusiensis;;;;Reunion 19/01/17;
Leiochone johnstoni;Leiochone leiopygos;;;;Reunion 20/02/17;
Leiochone leiopygos;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Lekanesphaera levii;Lekanesphaera spp.;;;;Modif VLG 13/02/18;
Lekanesphaera monodi;Lekanesphaera spp.;;;;Reunion 12/05/16;Intertidal Meuble
Lekanesphaera rugicauda;Lekanesphaera spp.;;;;Reunion 19/01/17;
Lekanesphaera teissieri;Lekanesphaera spp.;;;;Reunion 12/05/16;Intertidal Meuble
Lepadogaster sp.;Apletodon dentatus;Herbiers Intertidaux;;;M2;
Lepadogaster sp.;Apletodon dentatus;Bancs de Maerl;;;Reunion 19/01/17;Roscoff inchange car verification faite par caro.
Lepidonotus clava;Lepidonotus spp.;;;;Reunion 19/01/17;
Lepidonotus sp.;Lepidonotus spp.;;;;Reunion 19/01/17;
Lepidonotus squamatus;Lepidonotus spp.;;;;Reunion 19/01/17;
Leptochelia savignyi;Tanaidacea spp.;;;;Post-reunion 19/01/17;
Leptomysis sp.;Mysida spp.;;;;Reunion 20/02/17;
Lepton sp.;SUPPRIME;;;;Reunion 20/02/17;
Leptoplana sp.;Leptoplana spp.;;;;Reunion 19/01/17;
Leptoplana tremellaris;Leptoplana spp.;;;;Reunion 19/01/17;
Leptoplanidae sp.;Leptoplana spp.;;;;Reunion 25/05/20;
Leptosynapta cruenta;Leptosynapta spp.;;;;Reunion 12/05/16;Herbiers Intertidaux
Leptosynapta galliennii;Leptosynapta spp.;;;;Reunion 19/01/17;
Leptosynapta inhaerens;Leptosynapta spp.;;;;Reunion 19/01/17;
Leptosynapta minuta;Leptosynapta spp.;;;;Reunion 19/01/17;
Leptosynapta sp.;Leptosynapta spp.;;;;Reunion 19/01/17;
Leuconia sp.;Porifera spp.;;;;Reunion 20/02/17;
Leucosolenia complicata;Porifera spp.;;;;Reunion 20/02/17;
Leucosolenia sp.;Porifera spp.;;;;Reunion 20/02/17;
Leucothoe lilljeborgi;Leucothoe spp.;;;;M2;Present qu'en Intertidal Meuble et Herbiers Intertidaux
Leucothoe richiardii;Leucothoe spp.;;;;Reunion 19/01/17;
Leucothoe sp.;Leucothoe spp.;;;;Reunion 25/05/20;
Ligia oceanica;Idotea spp.;;;;Reunion 19/01/17;
Liljeborgia sp.;Liljeborgia pallida;;;;Reunion 20/02/17;
Limacia clavigera;Nudibranchia spp.;;;;Reunion 20/02/17;
Limatula sp.;Limaria loscombi;;;;Reunion 20/02/17;
Lineus sp.;Nemertea spp.;;;;Reunion 19/01/17;
Lineus sp1;Nemertea spp.;;;;Reunion 19/01/17;
Lineus sp2;Nemertea spp.;;;;These Nolwenn;
Liocarcinus sp.;Liocarcinus navigator;;;;Reunion 20/02/17;
Littorina fabalis;Littorina obtusata;;;;M2;Herbiers Intertidaux
Loricifera sp.;SUPPRIME;;;;Post-reunion 19/01/17;
Loripes orbiculatus;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;Attention : faire changements de nom avant suppression 
Loxosomella phascolosomata;Loxosomella spp.;;;;Reunion 25/05/20;
Loxosomella sp.;Loxosomella spp.;;;;Reunion 25/05/20;
Lucinoma borealis;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Lumbrineridae sp.;Lumbrineridae spp.;;;;Verif 18/03/17;
Lumbrinerides amoureuxi;Lumbrineridae spp.;;;;Verif 18/03/17;
Lumbrineriopsis;Lumbrineris spp.;;;;Reunion 25/05/20;
Lumbrineris;Lumbrineris spp.;;;;Reunion 25/05/20;
Lumbrineris aniara;Lumbrineris spp.;;;;Reunion 19/01/17;
Lumbrineris cingulata;Lumbrineris spp.;;;;Reunion 19/01/17;
Lumbrineris coccinea;Lumbrineris spp.;;;;Reunion 19/01/17;
Lumbrineris futilis;Lumbrineris spp.;;;;Reunion 19/01/17;
Lumbrineris gracilis;Lumbrineris spp.;;;;Reunion 19/01/17;Tous les Lumbrineris en spp.
Lumbrineris impatiens;Lumbrineris spp.;;;;Reunion 19/01/17;
Lumbrineris japonica;Lumbrineris spp.;;;;Reunion 19/01/17;
Lumbrineris latreilli;Lumbrineris spp.;;;;Reunion 19/01/17;
Lumbrineris luciliae;Lumbrineris spp.;;;;Reunion 25/05/20;
Lumbrineris lusitanica;Lumbrineris spp.;;;;Reunion 19/01/17;
Lumbrineris sp.;Lumbrineris spp.;;;;Reunion 19/01/17;
Lumbrineris sp1;Lumbrineris spp.;;;;Verif 18/03/17;
Lumbrineris sp2;Lumbrineris spp.;;;;Verif 18/03/17;
Lysianassa caesarea;Lysianassa ceratina;;;;Reunion 20/02/17;Confirme par Caro
Lysidice hebes;Lysidice unicornis;;;;Reunion 25/05/20;
Macoma balthica;Limecola balthica;;;;Correction 04/02/20;Actualisation du nom dans worms
Macroclymene santanderensis;SUPPRIME;Herbiers Intertidaux;Haveneau;;Reunion 12/05/16;
Macropodia longirostris;Macropodia tenuirostris;;;;Reunion 20/02/17;
Macropodia sp.;Macropodia rostrata;;;;Reunion 19/01/17;HI Sainte-Marguerite et MA Glenan
Mactra sp.;Mactra stultorum;;;;Reunion 20/02/17;
Maera sp.;Maera grossimana;;;;Reunion 20/02/17;
Maerella tenuimana;Cheirocratus sundevallii;;;;Reunion 20/02/17;
Maeridae;SUPPRIME;;;;Reunion 25/05/20;
Magallana gigas;Crassostrea gigas;;;;Modif 02/02/18;
Magelona equilamellae;Magelona sp.;;;;Reunion 25/05/20;
Magelona mirabilis;Magelona filiformis;;;;Post-reunion 19/01/17;Probleme en IM donc on fusionne même à Roscoff (même s'ils sont revenus sur leur donnee)
Magelona rosea;Magelona alleni;;;;These Nolwenn;Intertidal Meuble
Maja squinado;Maja brachydactyla;;;;Modif VLG 13/02/18;D'apres Neumann 1998
Malacoceros;Malacoceros spp.;;;;Reunion 25/05/20;
Malacoceros fuliginosus;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Malacoceros girardi;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;Attention : verifier absence de Malacoceros girardii aussi
Malacoceros sp.;Malacoceros spp.;;;;Reunion 19/01/17;
Malacoceros spp.;SUPPRIME;Herbiers Intertidaux;Haveneau;;Reunion 12/05/16;Suppression de M. vulgaris transforme en sp. (car ecrit de sorte que chgt avant suppression)
Malacoceros tetracerus;Malacoceros spp.;;;;Reunion 19/01/17;
Malacoceros vulgaris;Malacoceros spp.;;;;Reunion 19/01/17;
Maldane sarsi;Maldanidae spp.;;;;Verif 18/03/17;
Maldanidae sp.;Maldanidae spp.;;;;Reunion 19/01/17;
Maldanidae sp1;Maldanidae spp.;;;;These Nolwenn;Intertidal Meuble
Malmgrenia;Malmgrenia spp.;;;;Reunion 25/05/20;
Malmgrenia sp.;Malmgrenia spp.;;;;Reunion 25/05/20;
Malmgreniella;Malmgrenia spp.;;;;Reunion 25/05/20;
Malmgreniella arenicolae;Malmgrenia arenicolae;;;;Reunion 19/01/17;
Malmgreniella castanea;Malmgrenia castanea;;;;Reunion 19/01/17;
Malmgreniella darbouxi;Malmgrenia darbouxi;;;;Reunion 19/01/17;
Malmgreniella ljungmani;Malmgrenia ljungmani;;;;Reunion 19/01/17;
Malmgreniella lunulata;Malmgrenia arenicolae;;;;Reunion 19/01/17;
Malmgreniella marphysae;Malmgrenia marphysae;;;;Reunion 19/01/17;
Malmgreniella mcintoshi;Malmgrenia mcintoshi;;;;Reunion 19/01/17;
Malmgreniella sp.;Malmgrenia spp.;;;;Reunion 19/01/17;
Mangelia coarctata;Mangelia costata;;;;Reunion 19/01/17;
Marphysa bellii;Paucibranchia bellii;;;;Correction 04/02/20;Actualisation du nom dans worms
Marphysa sp.;Marphysa sanguinea;;;;Reunion 20/02/17;MA
Mediomastus fragilis;Heteromastus filiformis;;;;Reunion 19/01/17;Mal identifie en intertidal : fusion à confirmer ?
Megalomma sp.;Acromegalomma spp.;;;;Correction 04/02/20;Actualisation du nom dans worms
Megalomma vesiculosum;Acromegalomma spp.;;;;M2;
Melinna palmata;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Melita dentata;Megamoera dentata;;;;Correction 04/02/20;Actualisation du nom dans worms
Melita sp.;Abludomelita gladiosa;Subtidal Meuble;;;Reunion 20/02/17;
Melita sp.;Melita palmata;Intertidal Meuble;;;Post-reunion 19/01/17;IM et SM
Melitidae sp.;Melitidae spp.;;;;Reunion 19/01/17;
Melitidae sp1;Melitidae spp.;;;;Reunion 19/01/17;
Melphidippidae sp.;Megaluropus agilis;;;;Reunion 20/02/17;
Mesacmaea mitchellii;SUPPRIME;;;;Reunion 25/05/20;
Metridium senile;Actiniaria spp.;;;;These Nolwenn;Intertidal Meuble
Microchirus variegatus;Solea spp.;;;;M2;Herbiers Intertidaux
Microjassa cumbrensis;Jassa sp.;;;;Reunion 19/01/17;
Micromaldane ornithochaeta;Maldanidae spp.;;;;These Nolwenn;Intertidal Meuble
Microspio mecznikowianus;Microspio spp.;;;;Post-reunion 19/01/17;
Microspio sp.;Microspio spp.;;;;Post-reunion 19/01/17;
Microspio spp.;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Modiolarca subpicta;Musculus subpictus;;;;Reunion 19/01/17;
Modiolus modiolus;Modiolus barbatus;;;;Post-reunion 19/01/17;HI & MA
Modiolus sp.;Modiolus barbatus;;;;Reunion 20/02/17;
Monia patelliformis;Pododesmus patelliformis;;;;Modif VLG 13/02/18;
Monia squama;Anomia ephippium;;;;Reunion 20/02/17;
Monocorophium acherusicum;Monocorophium sextonae;;;;Reunion 12/05/16;Intertidal Meuble
Monoculodes carinatus;Kroyera carinata;;;;Modif VLG 13/02/18;
Montacuta phascolionis;Phascoliophila phascolionis;;;;;
Munida rugosa;SUPPRIME;;;;Reunion 20/02/17;
Myoxocephalus scorpius;Taurulus bubalis;;;;Reunion 19/01/17;
Myrianida pinnigera;Myrianida spp.;;;;Reunion 19/01/17;
Myrianida prolifera;Myrianida spp.;;;;Reunion 19/01/17;
Myrianida quindecimdentata;Myrianida spp.;;;;Verif 18/03/17;
Myrianida sp.;Myrianida spp.;;;;Reunion 19/01/17;
Myrianida sp1;Myrianida spp.;;;;Reunion 25/05/20;
Mysida;Mysida spp.;;;;Reunion 25/05/20;
Mysida sp.;Mysida spp.;;;;Reunion 19/01/17;
Mysidacae sp.;Mysida spp.;;;;Reunion 19/01/17;
Mysidacea spp.;Mysida spp.;;;;Reunion 19/01/17;
Mysidae sp.;Mysida spp.;;;;Reunion 19/01/17;
Mystides caeca;Pseudomystides limbata;;;;Reunion 20/02/17;
Mytilus edulis;Mytilus spp.;;;;Reunion 19/01/17;
Mytilus galloprovincialis;Mytilus spp.;;;;Reunion 19/01/17;
Mytilus sp.;Mytilus spp.;;;;Reunion 25/05/20;
Neanthes acuminata;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Neanthes caudata;Neanthes acuminata;;;;M2;
Neanthes fucata;Nereis spp.;;;;Modif VLG 13/02/18;
Neanthes sp.;Nereis spp.;;;;Modif VLG 13/02/18;
Nebalia bipes;Nebaliidae sp.;;;;Reunion 19/01/17;
Nebalia herbstii;Nebaliidae sp.;;;;Modif 31/01/18;
Nebalia kocatasi;Nebaliidae sp.;;;;Modif 31/01/18;
Nebalia reboredae;Nebalia spp.;;;;Reunion 25/05/20;
Nebalia sp.;Nebalia spp.;;;;Reunion 25/05/20;
Nebalia strausi;Nebalia spp.;;;;Reunion 25/05/20;
Nebalia troncosoi;Nebaliidae sp.;;;;Modif 31/01/18;
Nematoda sp.;SUPPRIME;;;;Reunion 19/01/17;
Nematoda sp1;SUPPRIME;;;;Reunion 19/01/17;
Nematoda spp.;SUPPRIME;;;;Reunion 19/01/17;
Nematonereis unicornis;Lysidice unicornis;;;;Correction 11/05/20;Actualisation du nom dans worms
Nemerta sp.;Nemertea spp.;;;;Reunion 19/01/17;
Nemerta sp1;Nemertea spp.;;;;These Nolwenn;Intertidal Meuble
Nemerta sp2;Nemertea spp.;;;;These Nolwenn;Intertidal Meuble
Nemerta sp4;Nemertea spp.;;;;These Nolwenn;Intertidal Meuble
Nemerta spp.;Nemertea spp.;;;;Reunion 19/01/17;
Nemertea;Nemertea spp.;;;;Reunion 25/05/20;
Nemertea sp.;Nemertea spp.;;;;Reunion 19/01/17;
Nemertea sp.2;Nemertea spp.;;;;Reunion 19/01/17;
Nemertea sp.4;Nemertea spp.;;;;Reunion 19/01/17;
Nemertea sp2;Nemertea spp.;;;;Reunion 25/05/20;
Nemertea sp4;Nemertea spp.;;;;Reunion 25/05/20;
Neoamphitrite edwardsi;SUPPRIME;Herbiers Intertidaux;Haveneau;;Reunion 12/05/16;
Neoamphitrite figulus;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Neomysis integer;Mysida spp.;;;;Reunion 19/01/17;
Neomysis sp.;Mysida spp.;;;;M2;Herbiers Intertidaux
Nephasoma (Nephasoma) minutum;Nephasoma spp.;;;;Reunion 20/02/17;
Nephasoma (Nephasoma) rimicola;Nephasoma spp.;;;;Reunion 20/02/17;
Nephtyidae;Nephtys spp.;;;;Reunion 25/05/20;
Nephtys;Nephtys spp.;;;;Reunion 25/05/20;
Nephtys assimilis;Nephtys cf. hombergii;;;;Reunion 19/01/17;
Nephtys caeca;Nephtys cf. hombergii;;;;Reunion 19/01/17;
Nephtys cf. hombergii;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Nephtys ciliata;Nephtys spp.;;;;Reunion 25/05/20;
Nephtys hombergii;Nephtys cf. hombergii;;;;Reunion 19/01/17;
Nephtys hystricis;Nephtys cf. hombergii;;;;Reunion 19/01/17;
Nephtys incisa;Nephtys cf. hombergii;;;;Reunion 19/01/17;
Nephtys kersivalensis;Nephtys cf. hombergii;;;;Reunion 19/01/17;
Nephtys longosetosa;Nephtys cirrosa;;;;Reunion 19/01/17;
Nephtys sp.;Nephtys spp.;;;;Reunion 19/01/17;
Nereididae spp.;Nereis spp.;;;;Reunion 19/01/17;
Nereis fucata;Nereis spp.;;;;Reunion 19/01/17;
Nereis pelagica;Nereis spp.;;;;Reunion 19/01/17;
Nereis rava;Nereis spp.;;;;Reunion 19/01/17;
Nereis sp.;Nereis spp.;;;;Reunion 19/01/17;
Nereis zonata;Nereis spp.;;;;Reunion 19/01/17;
Nerophis lumbriciformis;SUPPRIME;;Benne;;Post-reunion 19/01/17;
Nerophis ophidion;SUPPRIME;;Benne;;Post-reunion 19/01/17;
Nerophis ophidion;SUPPRIME;;Carotte;;M2;
Nerophis sp.;Nerophis lumbriciformis;;;;M2;Herbiers Intertidaux
Nicomache personata;Nicomache lumbricalis;;;;M2;Herbiers Intertidaux
Nicomache sp.;Nicomache lumbricalis;;;;M2;Herbiers Intertidaux
Notomastus exsertilis;Notomastus latericeus;;;;Reunion 19/01/17;
Notomastus latericeus;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Nucella lapillus;SUPPRIME;Herbiers Intertidaux;Haveneau;;Reunion 20/02/17;
Nucula nitidosa;SUPPRIME;Herbiers Intertidaux;Haveneau;;Reunion 12/05/16;
Nucula nucleus;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Nucula turgida;Nucula nitidosa;Subtidal Meuble;;;Modif 01/02/18;M. Le Duff
Nudibranchia sp.;Nudibranchia spp.;;;;Reunion 19/01/17;
Nudisyllis pulligera;Syllidae spp.;;;;Reunion 20/02/17;
Obelia geniculata;SUPPRIME;;;;Reunion 20/02/17;
Ocenebra sp.;Ocenebra erinaceus;;;;Reunion 20/02/17;
Odostomia lukisii;Odostomia spp.;;;;Post-Reunion 19/01/17;
Odostomia plicata;Odostomia spp.;;;;Post-Reunion 19/01/17;
Odostomia sp.;Odostomia spp.;;;;Post-Reunion 19/01/17;
Odostomia unidentata;Odostomia spp.;;;;Post-Reunion 19/01/17;
Oedicerotidae;Oedicerotidae sp.;;;;Reunion 25/05/20;
Oerstedia dorsalis;Nemertea spp.;;;;Reunion 19/01/17;
Oligochaeta;Oligochaeta spp.;;;;;
Oligochaeta sp.;Oligochaeta spp.;;;;Verif 18/03/17;
Oligochaeta sp1;Oligochaeta spp.;;;;M2/These Nolwenn;
Oligochaeta spp.;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Onchidoris muricata;Nudibranchia spp.;;;;Reunion 19/01/17;
Onchidoris sp.;Nudibranchia spp.;;;;Reunion 19/01/17;
Onuphidae;Onuphidae sp.;;;;Reunion 25/05/20;
Onuphis emerita;Onuphis eremita;;;;Reunion 19/01/17;
Ophelia limacina;Ophelia roscoffensis;;;;Verif 18/03/17;
Ophelia rathkei;Ophelia spp.;;;;Reunion 20/02/17;
Ophelia sp.;Ophelia spp.;;;;Reunion 20/02/17;
Ophelina acuminata;Ophelina spp.;;;;Reunion 20/02/17;
Ophelina cylindricaudata;Ophelina spp.;;;;Reunion 20/02/17;
Ophelina modesta;Ophelina spp.;;;;Reunion 20/02/17;
Ophelina sp.;Ophelina spp.;;;;Reunion 20/02/17;
Ophiurida sp.;SUPPRIME;;;;Reunion 12/05/16;1 fois en Herbiers Intertidaux
Opisthodonta longocirrata;Opisthodonta spp.;;;;Reunion 20/02/17;
Opisthodonta serratisetosa;Opisthodonta spp.;;;;Reunion 20/02/17;
Opisthosyllis brunnea;Syllidae spp.;;;;Reunion 20/02/17;
Opistobranchia spp.;Heterobranchia spp.;;;;Modif VLG 13/02/18 : Opisthobranchia spp. puis actualisation worms 25/01/21 : Heterobranchia spp.;
Orbinia cuvierii;Orbinia sertulata;;;;Modif 19/02/18;
Orbinia latreilli;Orbinia latreillii;;;;Reunion 25/05/20;
Orchomene similis;Orchomene humilis;;;;Reunion 20/02/17;
Orchomene sp.;Orchomene humilis;;;;Reunion 20/02/17;
Orchomenella nana;Tryphosa nana;;;;Reunion 19/01/17;Mise à jour du nom dans le SM
Ostracoda sp.;Ostracoda spp.;;;;Reunion 19/01/17;
Ostracoda spp.;SUPPRIME;;;;Reunion 19/01/17;
Ostrea edulis;Crassostrea gigas;;;;M2;Herbiers Intertidaux
Pachymatisma johnstonia;Porifera spp.;;;;Reunion 20/02/17;
Paguridae spp.;Pagurus spp.;;;;Reunion 20/02/17;
Pagurus alatus;Pagurus spp.;;;;Reunion 25/05/20;
Pagurus carneus;Pagurus bernhardus;;;;Reunion 19/01/17;
Pagurus forbesii;Pagurus bernhardus;;;;Reunion 19/01/17;
Pagurus prideaux;Pagurus bernhardus;;;;Reunion 19/01/17;
Pagurus pubescentulus;Pagurus spp.;;;;Reunion 19/01/17;
Pagurus sp.;Pagurus spp.;;;;Reunion 19/01/17;
Palaemon adspersus;SUPPRIME;;Carotte;;M2;
Palaemon elegans;SUPPRIME;;Carotte;;M2;
Palaemon elegans;SUPPRIME;;Benne;;Post-reunion 19/01/17;
Palaemon serratus;SUPPRIME;;Carotte;;M2;
Palaemon serratus;SUPPRIME;;Benne;;Post-reunion 19/01/17;
Pandalidae sp.;Pandalina brevirostris;;;;Reunion 20/02/17;
Paradialychone filicaudata;Chone spp.;;;;Correction 30/01/18;
Paraehlersia ferrugina;Syllidae spp.;;;;Reunion 20/02/17;
Paragattyana sp.;Gattyana cirrhosa;;;;Verif 18/03/17;
Parajassa pelagica;Jassa sp.;;;;M2;Herbiers Intertidaux et Intertidal Meuble
Parametopa kervillei;Stenothoe spp.;;;;M2;Herbiers Intertidaux
Paramysis (Longidentia) nouveli;Paramysis sp.;;;;Reunion 25/05/20;
Paramysis (Pseudoparamysis) bacescoi;Paramysis sp.;;;;Reunion 25/05/20;
Paranaitis kosteriensis;Eulalia spp.;Herbiers Intertidaux;;;M2;Laisse en Subtidal
Paranaitis kosteriensis;Eulalia spp.;Intertidal Meuble;;;Reunion 12/05/16;Laisse en Subtidal
Paraonidae;Paraonidae spp.;;;;Reunion 25/05/20;
Paraonidae sp.;Paraonidae spp.;;;;Reunion 19/01/17;
Paraonidae sp1;Paraonidae spp.;;;;These Nolwenn;Intertidal Meuble
Paraonis fulgens;Paraonidae spp.;;;;These Nolwenn;
Paraonis sp.;Paraonidae spp.;;;;Reunion 12/05/16;
Parapionosyllis minuta;Syllidae spp.;;;;M2;Herbiers Intertidaux
Pareurythoe chilensis;Pareurythoe borealis;;;;Reunion 20/02/17;
Patella spp.;SUPPRIME;Herbiers Intertidaux;;;Reunion 12/05/16;
Paucibranchia bellii;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;Marphysa bellii supprime devient paucibranchia bellii supprime le 04/02/20
Pectinaria (Amphictene) auricoma;Amphictene auricoma;;;;Correction 04/12/17;
Peltocoxa brevirostris;Peltocoxa damnoniensis;;;;Post-Reunion 19/01/17;
Perforatus perforatus;Sessilia spp.;;;;Reunion 19/01/17;
Periclimenes sagittifer;SUPPRIME;Herbiers Intertidaux;Carotte;;M2;
Periclimenes sagittifer;SUPPRIME;Bancs de Maerl;;;Post-Reunion 19/01/17;
Perinereis marionii;Perinereis cultrifera;;;;Reunion 19/01/17;
Perkinsiana socialis;Sabellidae spp.;;;;Reunion 20/02/17;
Pestarella tyrrhena;Gilvossius tyrrhenus;;;;Correction 04/02/20;Actualisation du nom dans worms
Petaloproctus sp.;Petaloproctus terricolus;;;;Reunion 20/02/17;
Phalusia mammilata;Phallusia mammillata;;;;Reunion 19/01/17;
Phascolion (Phascolion) strombus;Phascolion (Phascolion) strombus strombus;;;;Reunion 25/05/20;
Pherusa monolifera;Pherusa monilifera;;;;Reunion 19/01/17;
Philine aperta;Philine spp.;;;;Reunion 19/01/17;
Philine punctata;Philine spp.;;;;Reunion 19/01/17;
Philine quadrata;Philine spp.;;;;Reunion 19/01/17;
Philine quadripartita;Philine spp.;;;;Reunion 19/01/17;
Philine sp.;Philine spp.;;;;Reunion 12/05/16;
Philocheras bispinosus bispinosus;Philocheras spp.;;;;Reunion 19/01/17;
Philocheras fasciatus;Philocheras spp.;;;;Reunion 19/01/17;
Philocheras sculptus;Philocheras spp.;;;;Verif 18/03/17;
Philocheras sp.;Philocheras spp.;;;;Reunion 19/01/17;
Philocheras trispinosus;Philocheras spp.;;;;Reunion 19/01/17;
Pholoe assimilis;Pholoe inornata;;;;Modif VLG 13/02/18;
Pholoe baltica;Pholoe inornata;;;;Reunion 19/01/17;
Pholoe sp.;Pholoe inornata;;;;Reunion 19/01/17;
Pholoe synophthalmica;Pholoe inornata;;;;Reunion 19/01/17;
Phoronis;Phoronis spp.;;;;Reunion 25/05/20;
Phoronis muelleri;Phoronis spp.;;;;Reunion 19/01/17;
Phoronis ovalis;Phoronis spp.;;;;Reunion 19/01/17;
Phoronis psammophila;Phoronis spp.;;;;Reunion 12/05/16;
Phoronis sp.;Phoronis spp.;;;;Reunion 19/01/17;
Phoronis spp.;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;Changements avant suppression
Photis inornatus;Photis longicaudata;;;;Reunion 25/05/20;
phtisica marina;Phtisica marina;;;;Reunion 25/05/20;
Phyllochaetopterus sp1;Phyllochaetopterus sp.;;;;These Nolwenn;Intertidal Meuble
Phyllodoce groenlandica;Phyllodoce spp.;;;;Reunion 20/02/17;
Phyllodoce lamelligera;Phyllodoce spp.;;;;Reunion 20/02/17;
Phyllodoce madeirensis;Phyllodoce spp.;;;;Reunion 12/05/16;Intertidal Meuble
Phyllodoce sp.;Phyllodoce spp.;;;;Reunion 19/01/17;
Phyllodoce sp1;Phyllodoce spp.;;;;These Nolwenn;Intertidal Meuble
Phylo foetida;Orbinia latreillii;;;;Post-Reunion 19/01/17;
Phylo grubei;Orbinia latreillii;;;;Post-Reunion 19/01/17;
Pinnotheres pectunculi;SUPPRIME;;;;Reunion 25/05/20;
Pionosyllis sp.;Syllidae spp.;;;;Reunion 20/02/17;
Pisa nodipes;Pisa tetraodon;;;;Reunion 20/02/17;
Pisces spp.;Pomatoschistus minutus;;;;M2;Herbiers Intertidaux
Pisces;Pomatoschistus minutus;;;;;Herbiers Intertidaux
Pista;Pista spp.;;;;Reunion 25/05/20;
Pista bansei;Pista spp.;;;;Reunion 25/05/20;
Pista cristata;Pista spp.;;;;Reunion 19/01/17;
Pista mediterranea;Pista spp.;;;;Modif 13/02/18;
Pista sp.;Pista spp.;;;;Verif 18/03/17;
Pista sp1;Pista spp.;;;;Verif 18/03/17;
Pista sp2;Pista spp.;;;;Verif 18/03/17;
Pista sp4;Pista spp.;;;;Verif 18/03/17;
